Asset_Sub_Type,Elements
Lab Building,Heating System
Lab Building,Hydro Turbine
Lab Building,Incomer
Lab Building,Internal Features
Lab Building,Internal Walls
Lab Building,Ladder
Lab Building,Lighting
Lab Building,Maintenance Hole
Lab Building,Padlock or Lock
Lab Building,Planted Elements
Lab Building,Roller Shutters
Lab Building,Roof
Lab Building,Security Camera
Lab Building,Sewage Treatment System
Lab Building,Solar Panel
Lab Building,Substructure
Lab Building,Transformer
Lab Building,Treads and Risers
Lab Building,Uninterruptible Power Supply
Lab Building,Ventilation System
Lab Building,Waste Disposal System
Lab Building,Water Supply Plumbing System
Landing,Access Strip
Landing,Bearing Piling
Landing,Buoyancy Aid
Landing,Capping Beam
Landing,Deck
Landing,Fender
Landing,Floats
Landing,Habitat Enhancement
Landing,Landing Face
Landing,Mooring Point
Landing,Piling
